tanggal,bulan,tahun,kode_cabang,cabang,customer_id,kategori_rating,rating
1,Jan,2021,BA111,Bandung,154859e0,makanan,3
1,Jan,2021,BA111,Bandung,349ca624,minuman,4
1,Jan,2021,BA111,Bandung,df79f627,layanan,5
1,Jan,2021,BA111,Bandung,8035f966,kebersihan,5
1,Jan,2021,BA111,Bandung,330881bd,fasilitas,5
2,Jan,2021,BA111,Bandung,f1e53f0e,makanan,3
2,Jan,2021,BA111,Bandung,a2e2da47,minuman,3
2,Jan,2021,BA111,Bandung,dd2336f0,layanan,5
2,Jan,2021,BA111,Bandung,ef31131d,kebersihan,3
2,Jan,2021,BA111,Bandung,05b86ca0,fasilitas,5
3,Jan,2021,BA111,Bandung,c798f8c6,makanan,3
3,Jan,2021,BA111,Bandung,08f9796e,minuman,4
3,Jan,2021,BA111,Bandung,7e975f9e,layanan,3
3,Jan,2021,BA111,Bandung,2264f687,kebersihan,5
3,Jan,2021,BA111,Bandung,79679b85,fasilitas,3
4,Jan,2021,BA111,Bandung,b48a3738,makanan,3
4,Jan,2021,BA111,Bandung,0bb4e452,minuman,3
4,Jan,2021,BA111,Bandung,679f2fb4,layanan,5
4,Jan,2021,BA111,Bandung,73ef690c,kebersihan,4
4,Jan,2021,BA111,Bandung,0be85871,fasilitas,3
5,Jan,2021,BA111,Bandung,a53bc01c,makanan,5
5,Jan,2021,BA111,Bandung,5cd52260,minuman,5
5,Jan,2021,BA111,Bandung,907b3aee,layanan,5
5,Jan,2021,BA111,Bandung,15702260,kebersihan,3
5,Jan,2021,BA111,Bandung,8be0b099,fasilitas,4
6,Jan,2021,BA111,Bandung,4c66d9b4,makanan,3
6,Jan,2021,BA111,Bandung,da11a52d,minuman,5
6,Jan,2021,BA111,Bandung,ea854a52,layanan,5
6,Jan,2021,BA111,Bandung,31c6b1f2,kebersihan,3
6,Jan,2021,BA111,Bandung,6da80e34,fasilitas,5
7,Jan,2021,BA111,Bandung,e2343728,makanan,4
7,Jan,2021,BA111,Bandung,77407e2e,minuman,4
7,Jan,2021,BA111,Bandung,7b16b717,layanan,3
7,Jan,2021,BA111,Bandung,8560e20e,kebersihan,5
7,Jan,2021,BA111,Bandung,2964f1f4,fasilitas,4
8,Jan,2021,BA111,Bandung,b69c6b4f,makanan,3
8,Jan,2021,BA111,Bandung,b201d356,minuman,4
8,Jan,2021,BA111,Bandung,0535224d,layanan,5
8,Jan,2021,BA111,Bandung,68f43f59,kebersihan,3
8,Jan,2021,BA111,Bandung,5cc51dc6,fasilitas,5
9,Jan,2021,BA111,Bandung,c9f1b78e,makanan,3
9,Jan,2021,BA111,Bandung,7009c80e,minuman,3
9,Jan,2021,BA111,Bandung,9d06decc,layanan,4
9,Jan,2021,BA111,Bandung,ade4382b,kebersihan,4
9,Jan,2021,BA111,Bandung,5e394cf1,fasilitas,5
10,Jan,2021,BA111,Bandung,0977aeb8,makanan,3
10,Jan,2021,BA111,Bandung,ba4b64e5,minuman,5
10,Jan,2021,BA111,Bandung,490ce4a8,layanan,4
10,Jan,2021,BA111,Bandung,8de72159,kebersihan,5
10,Jan,2021,BA111,Bandung,38e429cf,fasilitas,3
11,Jan,2021,BA111,Bandung,b571fd63,makanan,4
11,Jan,2021,BA111,Bandung,6334319b,minuman,3
11,Jan,2021,BA111,Bandung,156cfb0b,layanan,5
11,Jan,2021,BA111,Bandung,2bb4f54e,kebersihan,3
11,Jan,2021,BA111,Bandung,6472c3b1,fasilitas,5
12,Jan,2021,BA111,Bandung,c558c674,makanan,4
12,Jan,2021,BA111,Bandung,dd95df18,minuman,4
12,Jan,2021,BA111,Bandung,955ab756,layanan,5
12,Jan,2021,BA111,Bandung,f54aa40c,kebersihan,3
12,Jan,2021,BA111,Bandung,b53ea199,fasilitas,5
13,Jan,2021,BA111,Bandung,bae2e208,makanan,3
13,Jan,2021,BA111,Bandung,3b87149f,minuman,4
13,Jan,2021,BA111,Bandung,8c959353,layanan,4
13,Jan,2021,BA111,Bandung,7f6900ae,kebersihan,3
13,Jan,2021,BA111,Bandung,d6d0504f,fasilitas,5
14,Jan,2021,BA111,Bandung,b4684882,makanan,5
14,Jan,2021,BA111,Bandung,8c56bae4,minuman,5
14,Jan,2021,BA111,Bandung,05b5a586,layanan,3
14,Jan,2021,BA111,Bandung,b804d521,kebersihan,5
14,Jan,2021,BA111,Bandung,108c40cd,fasilitas,4
15,Jan,2021,BA111,Bandung,c19e7e2e,makanan,4
15,Jan,2021,BA111,Bandung,4373d835,minuman,5
15,Jan,2021,BA111,Bandung,1c3a304f,layanan,3
15,Jan,2021,BA111,Bandung,241fd5a7,kebersihan,3
15,Jan,2021,BA111,Bandung,008b8b3b,fasilitas,4
16,Jan,2021,BA111,Bandung,be3a3bb7,makanan,5
16,Jan,2021,BA111,Bandung,909ac099,minuman,5
16,Jan,2021,BA111,Bandung,d735e187,layanan,3
16,Jan,2021,BA111,Bandung,374b91ff,kebersihan,4
16,Jan,2021,BA111,Bandung,4fa6657b,fasilitas,5
17,Jan,2021,BA111,Bandung,4a3d8f17,makanan,4
17,Jan,2021,BA111,Bandung,da702683,minuman,3
17,Jan,2021,BA111,Bandung,21bcb511,layanan,3
17,Jan,2021,BA111,Bandung,05388bd2,kebersihan,5
17,Jan,2021,BA111,Bandung,afd01cdd,fasilitas,3
18,Jan,2021,BA111,Bandung,e907f6e5,makanan,5
18,Jan,2021,BA111,Bandung,4d812a52,minuman,3
18,Jan,2021,BA111,Bandung,a81b7286,layanan,4
18,Jan,2021,BA111,Bandung,14cfa4d4,kebersihan,3
18,Jan,2021,BA111,Bandung,b0243029,fasilitas,3
19,Jan,2021,BA111,Bandung,1fd7a08c,makanan,5
19,Jan,2021,BA111,Bandung,fa8ca62b,minuman,4
19,Jan,2021,BA111,Bandung,8990aff9,layanan,4
19,Jan,2021,BA111,Bandung,e6f5d467,kebersihan,5
19,Jan,2021,BA111,Bandung,152ca32f,fasilitas,4
20,Jan,2021,BA111,Bandung,1a72ace7,makanan,3
20,Jan,2021,BA111,Bandung,5807ae41,minuman,4
20,Jan,2021,BA111,Bandung,8ec518ef,layanan,4
20,Jan,2021,BA111,Bandung,d78e94fb,kebersihan,3
20,Jan,2021,BA111,Bandung,c0debc53,fasilitas,5
21,Jan,2021,BA111,Bandung,83a3770f,makanan,5
21,Jan,2021,BA111,Bandung,1cf29b0f,minuman,5
21,Jan,2021,BA111,Bandung,e15312e2,layanan,3
21,Jan,2021,BA111,Bandung,7582755b,kebersihan,3
21,Jan,2021,BA111,Bandung,f31c0925,fasilitas,4
22,Jan,2021,BA111,Bandung,9db6592e,makanan,3
22,Jan,2021,BA111,Bandung,f8ec6e14,minuman,4
22,Jan,2021,BA111,Bandung,2b030452,layanan,5
22,Jan,2021,BA111,Bandung,fbd7b063,kebersihan,4
22,Jan,2021,BA111,Bandung,57130977,fasilitas,3
23,Jan,2021,BA111,Bandung,70a8c59b,makanan,4
23,Jan,2021,BA111,Bandung,3883b025,minuman,5
23,Jan,2021,BA111,Bandung,df641925,layanan,5
23,Jan,2021,BA111,Bandung,44c4bcde,kebersihan,5
23,Jan,2021,BA111,Bandung,cbdbc3ef,fasilitas,4
24,Jan,2021,BA111,Bandung,54e91a06,makanan,3
24,Jan,2021,BA111,Bandung,1abbd7e3,minuman,4
24,Jan,2021,BA111,Bandung,ec984277,layanan,3
24,Jan,2021,BA111,Bandung,7eb91fdd,kebersihan,5
24,Jan,2021,BA111,Bandung,295b8aea,fasilitas,5
25,Jan,2021,BA111,Bandung,13813225,makanan,4
25,Jan,2021,BA111,Bandung,3.00E+91,minuman,4
